Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-04 00:00:00,19,0.0,87,1,1
2018-04-04 01:00:00,19,0.0,90,1,1
2018-04-04 02:00:00,19,0.0,92,1,1
2018-04-04 03:00:00,19,0.0,92,1,1
2018-04-04 04:00:00,19,0.0,89,6,1
2018-04-04 05:00:00,18,0.0,93,6,2
2018-04-04 06:00:00,16,0.0,95,6,2
2018-04-04 07:00:00,15,0.0,95,6,2
2018-04-04 08:00:00,13,0.0,95,6,1
2018-04-04 09:00:00,13,0.0,93,7,3
2018-04-04 10:00:00,12,0.0,92,6,2
2018-04-04 11:00:00,12,0.0,91,5,2
2018-04-04 12:00:00,12,0.0,89,0,2
2018-04-04 13:00:00,12,0.0,89,6,2
2018-04-04 14:00:00,12,0.0,89,7,2
2018-04-04 15:00:00,12,0.0,88,7,1
2018-04-04 16:00:00,12,0.0,86,4,1
2018-04-04 17:00:00,11,0.0,85,7,1
2018-04-04 18:00:00,11,0.0,86,6,1
2018-04-04 19:00:00,11,0.0,89,7,2
2018-04-04 20:00:00,11,0.0,90,6,1
2018-04-04 21:00:00,11,0.0,91,7,1
2018-04-04 22:00:00,11,0.0,90,7,1
2018-04-04 23:00:00,11,0.0,90,7,1
2018-04-05 00:00:00,11,0.0,89,5,1
